TransactionID|Date|ProductID|ProductName|Quantity|UnitPrice|CustomerID|Region|API_Category|API_Brand|API_Rating|API_Match
T037|2024-12-23|P102|Mouse|1|768.0|C003|North|mobile-accessories|Apple|3.68|True
T012|2024-12-21|P108|External Hard Drive|6|4332.0|C012|East|mobile-accessories|Apple|3.62|True
T048|2024-12-13|P101|LaptopPremium|5|74819.0|C010|West|mobile-accessories|Apple|3.47|True
T044|2024-12-09|P103|Keyboard|8|1823.0|C028|North|mobile-accessories|Apple|4.62|True
T025|2024-12-14|P105|Webcam|3|3858.0|C001|East|mobile-accessories|Apple|3.62|True
T027|2024-12-27|P105|Webcam|9|4494.0|C007|South|mobile-accessories|Apple|3.62|True
T013|2024-12-22|P104|Monitor|5|10339.0|C020|South|mobile-accessories|Apple|4.15|True
T017|2024-12-07|P102|Mouse|10|944.0|C007|West|mobile-accessories|Apple|3.68|True
T038|2024-12-03|P106|Headphones|9|2949.0|C009|West|mobile-accessories|Apple|2.74|True
T052|2024-12-17|P101|LaptopPremium|2|57178.0|C003|North|mobile-accessories|Apple|3.47|True
T042|2024-12-02|P102|Mouse|7|994.0|C026|North|mobile-accessories|Apple|3.68|True
T053|2024-12-13|P104|MonitorLED|2|16067.0|C019|North|mobile-accessories|Apple|4.15|True
T040|2024-12-07|P107|USB Cable|2|149.0|C022|West|mobile-accessories|Beats|4.24|True
T065|2024-12-02|P105|Webcam|1|3366.0|C025|South|mobile-accessories|Apple|3.62|True
T039|2024-12-18|P104|Monitor|3|23488.0|C008|West|mobile-accessories|Apple|4.15|True
T016|2024-12-08|P101|Laptop|1|65673.0|C013|East|mobile-accessories|Apple|3.47|True
T041|2024-12-14|P106|Headphones|7|4825.0|C028|North|mobile-accessories|Apple|2.74|True
T043|2024-12-07|P104|Monitor|4|22700.0|C005|West|mobile-accessories|Apple|4.15|True
T009|2024-12-03|P107|USB Cable|9|250.0|C027|East|mobile-accessories|Beats|4.24|True
T056|2024-12-22|P103|KeyboardMechanical|5|2672.0|C011|North|mobile-accessories|Apple|4.62|True
T047|2024-12-07|P108|External Hard Drive1TB|7|3480.0|C006|West|mobile-accessories|Apple|3.62|True
T026|2024-12-25|P109|Wireless Mouse|3|1539.0|C030|North|mobile-accessories|TechGear|4.43|True
T069|2024-12-05|P107|USB Cable|1|257.0|C012|North|mobile-accessories|Beats|4.24|True
T067|2024-12-01|P109|Wireless Mouse|2|654.0|C029|South|mobile-accessories|TechGear|4.43|True
